card_id,fact_id,admission_status
V1-CARD-0074,V1-FCT-0391,candidate_for_staging_review
V1-CARD-0074,V1-FCT-0392,candidate_for_staging_review
V1-CARD-0075,V1-FCT-0393,candidate_for_staging_review
V1-CARD-0075,V1-FCT-0394,candidate_for_staging_review
V1-CARD-0075,V1-FCT-0395,candidate_for_staging_review
V1-CARD-0076,V1-FCT-0396,candidate_for_staging_review
V1-CARD-0076,V1-FCT-0397,candidate_for_staging_review
V1-CARD-0076,V1-FCT-0398,candidate_for_staging_review
V1-CARD-0076,V1-FCT-0399,candidate_for_staging_review
V1-CARD-0076,V1-FCT-0400,candidate_for_staging_review
V1-CARD-0077,V1-FCT-0401,candidate_for_staging_review
V1-CARD-0077,V1-FCT-0402,candidate_for_staging_review
V1-CARD-0077,V1-FCT-0403,candidate_for_staging_review
V1-CARD-0078,V1-FCT-0404,candidate_for_staging_review
V1-CARD-0078,V1-FCT-0405,candidate_for_staging_review
V1-CARD-0078,V1-FCT-0406,candidate_for_staging_review
V1-CARD-0079,V1-FCT-0407,candidate_for_staging_review
V1-CARD-0079,V1-FCT-0408,candidate_for_staging_review
V1-CARD-0079,V1-FCT-0409,candidate_for_staging_review
V1-CARD-0080,V1-FCT-0410,candidate_for_staging_review
V1-CARD-0080,V1-FCT-0411,candidate_for_staging_review
V1-CARD-0080,V1-FCT-0412,candidate_for_staging_review
V1-CARD-0080,V1-FCT-0413,candidate_for_staging_review
V1-CARD-0081,V1-FCT-0414,candidate_for_staging_review
V1-CARD-0081,V1-FCT-0415,candidate_for_staging_review
V1-CARD-0081,V1-FCT-0416,candidate_for_staging_review
V1-CARD-0082,V1-FCT-0417,candidate_for_staging_review
V1-CARD-0082,V1-FCT-0418,candidate_for_staging_review
V1-CARD-0082,V1-FCT-0419,candidate_for_staging_review
V1-CARD-0083,V1-FCT-0420,candidate_for_staging_review
V1-CARD-0083,V1-FCT-0421,candidate_for_staging_review
V1-CARD-0083,V1-FCT-0422,candidate_for_staging_review
V1-CARD-0084,V1-FCT-0423,candidate_for_staging_review
V1-CARD-0084,V1-FCT-0424,candidate_for_staging_review
V1-CARD-0084,V1-FCT-0425,candidate_for_staging_review
V1-CARD-0084,V1-FCT-0426,candidate_for_staging_review
V1-CARD-0084,V1-FCT-0427,candidate_for_staging_review
V1-CARD-0085,V1-FCT-0428,candidate_for_staging_review
V1-CARD-0085,V1-FCT-0429,candidate_for_staging_review
V1-CARD-0085,V1-FCT-0430,candidate_for_staging_review
V1-CARD-0086,V1-FCT-0431,candidate_for_staging_review
V1-CARD-0086,V1-FCT-0432,candidate_for_staging_review
V1-CARD-0086,V1-FCT-0433,candidate_for_staging_review
V1-CARD-0087,V1-FCT-0434,candidate_for_staging_review
V1-CARD-0087,V1-FCT-0435,candidate_for_staging_review
V1-CARD-0087,V1-FCT-0436,candidate_for_staging_review
V1-CARD-0088,V1-FCT-0437,candidate_for_staging_review
V1-CARD-0088,V1-FCT-0438,candidate_for_staging_review
V1-CARD-0088,V1-FCT-0439,candidate_for_staging_review
V1-CARD-0088,V1-FCT-0440,candidate_for_staging_review
V1-CARD-0088,V1-FCT-0441,candidate_for_staging_review
V1-CARD-0089,V1-FCT-0442,candidate_for_staging_review
V1-CARD-0089,V1-FCT-0443,candidate_for_staging_review
V1-CARD-0089,V1-FCT-0444,candidate_for_staging_review
V1-CARD-0090,V1-FCT-0445,candidate_for_staging_review
V1-CARD-0090,V1-FCT-0446,candidate_for_staging_review
V1-CARD-0090,V1-FCT-0447,candidate_for_staging_review
V1-CARD-0091,V1-FCT-0448,candidate_for_staging_review
V1-CARD-0091,V1-FCT-0449,candidate_for_staging_review
V1-CARD-0091,V1-FCT-0450,candidate_for_staging_review
V1-CARD-0092,V1-FCT-0451,candidate_for_staging_review
V1-CARD-0092,V1-FCT-0452,candidate_for_staging_review
V1-CARD-0092,V1-FCT-0453,candidate_for_staging_review
V1-CARD-0092,V1-FCT-0454,candidate_for_staging_review
V1-CARD-0092,V1-FCT-0455,candidate_for_staging_review
V1-CARD-0093,V1-FCT-0456,candidate_for_staging_review
V1-CARD-0093,V1-FCT-0457,candidate_for_staging_review
V1-CARD-0093,V1-FCT-0458,candidate_for_staging_review
V1-CARD-0094,V1-FCT-0459,candidate_for_staging_review
V1-CARD-0094,V1-FCT-0460,candidate_for_staging_review
V1-CARD-0094,V1-FCT-0461,candidate_for_staging_review
V1-CARD-0095,V1-FCT-0462,candidate_for_staging_review
V1-CARD-0095,V1-FCT-0463,candidate_for_staging_review
V1-CARD-0095,V1-FCT-0464,candidate_for_staging_review
V1-CARD-0096,V1-FCT-0465,candidate_for_staging_review
V1-CARD-0096,V1-FCT-0466,candidate_for_staging_review
V1-CARD-0096,V1-FCT-0467,candidate_for_staging_review
V1-CARD-0096,V1-FCT-0468,candidate_for_staging_review
V1-CARD-0096,V1-FCT-0469,candidate_for_staging_review
V1-CARD-0097,V1-FCT-0470,candidate_for_staging_review
V1-CARD-0097,V1-FCT-0471,candidate_for_staging_review
